timestamp,event_type,status,details
2025-05-16T10:11:47.980072,MODEL_LOAD,SUCCESS,Whisper model 'turbo' loaded successfully.
2025-05-16T10:12:03.451965,MODEL_LOAD,SUCCESS,Whisper model 'turbo' loaded successfully.
2025-05-16T10:12:18.413245,MODEL_LOAD,SUCCESS,Whisper model 'turbo' loaded successfully.
2025-05-16T10:12:38.280677,MODEL_LOAD,SUCCESS,Whisper model 'turbo' loaded successfully.
2025-05-16T10:12:42.022786,HEALTH_CHECK,SUCCESS,Model loaded
2025-05-16T10:12:43.393112,HEALTH_CHECK,SUCCESS,Model loaded
2025-05-16T10:14:08.731500,MODEL_LOAD,SUCCESS,Whisper model 'turbo' loaded successfully.
2025-05-16T10:14:25.706796,MODEL_LOAD,SUCCESS,Whisper model 'turbo' loaded successfully.
2025-05-16T10:14:42.830199,TRANSCRIBE_REQUEST,RECEIVED,"File: A.mp3, Content-Type: audio/mpeg"
2025-05-16T10:15:50.502425,TRANSCRIBE_SUCCESS,SUCCESS,File: A.mp3
2025-05-16T10:18:14.154297,MODEL_LOAD,SUCCESS,Whisper model 'turbo' loaded successfully.
2025-05-16T10:18:23.420511,TRANSCRIBE_REQUEST,RECEIVED,"File: A.mp3, Content-Type: audio/mpeg"
2025-05-16T10:19:33.481491,TRANSCRIBE_SUCCESS,SUCCESS,File: A.mp3
2025-05-16T10:19:33.481821,TRANSCRIPTION_DATA,LOGGED,"File: A.mp3, Text Snippet: เป็นความดัน แล้วก็โลกพอ อังไงก็ไม่เกี่ยวกันนะครับก่าแล้ว ๆ เอ่อก็ดูทับเส้นด้วยนะจ๊ะก็ไม่เกี่ยว ไม่เกี่ยวที่นี่มันอย่างนี้จริงเขา MRI เขาจะรู้ไงว่ามันบรีชที่สิ้นเลือดฝอยทำให้เกิดมีการร้อนที่น่าอัจารย์ใ..."
2025-05-16T10:51:02.224846,MODEL_LOAD,SUCCESS,Whisper model 'turbo' loaded successfully.
2025-05-16T11:02:34.074116,TRANSCRIBE_REQUEST,RECEIVED,"File: A.mp3, Content-Type: audio/mpeg"
2025-05-16T11:04:25.518759,TRANSCRIBE_SUCCESS,SUCCESS,File: A.mp3
2025-05-16T11:04:25.520068,TRANSCRIPTION_DATA,LOGGED,"File: A.mp3, Text Snippet: เป็นความดัน แล้วก็โลกพอ อังไงก็ไม่เกี่ยวกันนะครับก่าแล้ว ๆ เอ่อก็ดูทับเส้นด้วยนะจ๊ะก็ไม่เกี่ยว ไม่เกี่ยวที่นี่มันอย่างนี้จริงเขา MRI เขาจะรู้ไงว่ามันบรีชที่สิ้นเลือดฝอยทำให้เกิดมีการร้อนที่น่าอัจารย์ใ..."
2025-05-16T11:18:23.101667,TRANSCRIBE_REQUEST,RECEIVED,"File: A.mp3, Content-Type: audio/mpeg"
2025-05-16T11:20:30.163782,TRANSCRIBE_SUCCESS,SUCCESS,File: A.mp3
2025-05-16T11:20:30.166724,TRANSCRIPTION_DATA,LOGGED,"File: A.mp3, Text Snippet: เป็นความดัน แล้วก็โลกพอ อังไงก็ไม่เกี่ยวกันนะครับก่าแล้ว ๆ เอ่อก็ดูทับเส้นด้วยนะจ๊ะก็ไม่เกี่ยว ไม่เกี่ยวที่นี่มันอย่างนี้จริงเขา MRI เขาจะรู้ไงว่ามันบรีชที่สิ้นเลือดฝอยทำให้เกิดมีการร้อนที่น่าอัจารย์ใ..."
2025-05-16T11:30:38.292986,TRANSCRIBE_REQUEST,RECEIVED,"File: B.mp3, Content-Type: audio/mpeg"
2025-05-16T11:33:03.705431,TRANSCRIBE_SUCCESS,SUCCESS,File: B.mp3
2025-05-16T11:33:03.740916,TRANSCRIPTION_DATA,LOGGED,"File: B.mp3, Text Snippet: ที่จะอยู่อย่างร้องเกียร์ที่จะรอกภัยถามมาเราก็มีภูมิท่านท่านในการออกกำลังกายเราจะมีความสุขมาก ๆ ด้วยกันคุณฟังกันที่เรามีความสุขก็คือไม่ใช่แต่รับประชาณ์ความอร่อยที่เราชอบอย่างเดียวใช่ไหมครับเราก็ต้องดูแ..."
2025-05-16T11:50:30.402026,TRANSCRIBE_REQUEST,RECEIVED,"File: B.mp3, Content-Type: audio/mpeg"
2025-05-16T11:52:38.272831,TRANSCRIBE_SUCCESS,SUCCESS,File: B.mp3
2025-05-16T11:52:38.274574,TRANSCRIPTION_DATA,LOGGED,"File: B.mp3, Text Snippet: ที่จะอยู่อย่างร้องเกียร์ที่จะรอกภัยถามมาเราก็มีภูมิท่านท่านในการออกกำลังกายเราจะมีความสุขมาก ๆ ด้วยกันคุณฟังกันที่เรามีความสุขก็คือไม่ใช่แต่รับประชาณ์ความอร่อยที่เราชอบอย่างเดียวใช่ไหมครับเราก็ต้องดูแ..."
2025-05-16T12:55:06.407943,MODEL_LOAD,FAILURE,"Error loading Whisper model: If you are trying to download a HuggingFace model with lar, please install first the transformers library"
2025-05-16T13:21:03.068215,MODEL_LOAD,FAILURE,"Error loading Whisper model: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2025-05-16T13:22:36.002673,MODEL_LOAD,FAILURE,Error loading Whisper model: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)>
2025-05-16T13:23:19.579443,TRANSCRIBE_REQUEST,FAILURE,Model not available.
2025-05-16T13:24:48.596798,MODEL_LOAD,SUCCESS,Whisper model 'turbo' loaded successfully.
2025-05-16T13:24:48.653723,TRANSCRIBE_REQUEST,RECEIVED,"File: 172.16.116.8120250124_17-22-35_FM2(10100kHz).mp3, Content-Type: audio/mpeg"
2025-05-16T13:25:49.656723,TRANSCRIBE_SUCCESS,SUCCESS,File: 172.16.116.8120250124_17-22-35_FM2(10100kHz).mp3
2025-05-16T13:25:49.657015,TRANSCRIPTION_DATA,LOGGED,"File: 172.16.116.8120250124_17-22-35_FM2(10100kHz).mp3, Text Snippet: ประชาชนก็ต้องเข้าใจการทำงานของรัฐบาลจะไปโทษเขาไม่ได้ จะโทษก็โทษ ดิชังก็โทษ จรงที่ว่าช้าไปคือปล่อยให้เขา มาเบกเขาเนี่ย เหมือนทำขนมเรียบร้อยเพราะเข็นออกไปตั้งกลิมทางแล้วถ้าสักฤษวิ่งมาบอกไม่ได้ ขายไม่ได้..."
2025-05-16T13:27:37.593700,HEALTH_CHECK,SUCCESS,Model loaded
2025-05-16T13:30:38.201155,TRANSCRIBE_REQUEST,RECEIVED,"File: C.mp3, Content-Type: audio/mpeg"
2025-05-16T13:31:34.549057,TRANSCRIBE_SUCCESS,SUCCESS,File: C.mp3
2025-05-16T13:31:34.549707,TRANSCRIPTION_DATA,LOGGED,"File: C.mp3, Text Snippet: ประชาชนก็ต้องเข้าใจการทำงานของรัฐบาลจะไปโทษเขาไม่ได้ จะโทษก็โทษ ดิชังก็โทษ จรงที่ว่าช้าไปคือปล่อยให้เขา มาเบกเขาเนี่ย เหมือนทำขนมเรียบร้อยเพราะเข็นออกไปตั้งกลิมทางแล้วถ้าสักฤษวิ่งมาบอกไม่ได้ ขายไม่ได้..."
2025-05-16T13:33:36.106183,TRANSCRIBE_REQUEST,RECEIVED,"File: A.mp3, Content-Type: audio/mpeg"
2025-05-16T13:35:09.022008,TRANSCRIBE_SUCCESS,SUCCESS,File: A.mp3
2025-05-16T13:35:09.022343,TRANSCRIPTION_DATA,LOGGED,"File: A.mp3, Text Snippet: เป็นความดัน แล้วก็โลกพอ อังไงก็ไม่เกี่ยวกันนะครับก่าแล้ว ๆ เอ่อก็ดูทับเส้นด้วยนะจ๊ะก็ไม่เกี่ยว ไม่เกี่ยวที่นี่มันอย่างนี้จริงเขา MRI เขาจะรู้ไงว่ามันบรีชที่สิ้นเลือดฝอยทำให้เกิดมีการร้อนที่น่าอัจารย์ใ..."
2025-05-16T13:35:09.034578,HEALTH_CHECK,SUCCESS,Model loaded
